0.400000          20    0.173891    0.111481    0.011955
0.450000          20    0.200602    0.211718   0.0129823
0.500000          20    0.354922    0.313266   0.0110417
0.550000          20    0.354287    0.397307  0.00573154
0.600000          20    0.388987    0.425423  0.00405696
0.700000          20    0.464794    0.429419  0.00622291
0.800000          20    0.438289    0.453064  0.00474379
0.900000          20    0.415655    0.436822  0.00253427
1.000000          20    0.425848    0.420173  0.00186323
1.100000          20    0.382305    0.400344  0.00193092
1.200000          20    0.376447    0.371154  0.00153661
1.300000          20    0.354774    0.346094  0.00145722
1.400000          20    0.309864    0.317323  0.00126435
1.500000          20    0.289818    0.295313 0.000956498
1.600000          20    0.273688     0.27155 0.000741779
1.700000          20     0.25255    0.250436 0.000987416
1.800000          20    0.231385    0.230064   0.0008934
1.900000          20    0.213788    0.212998 0.000911895
2.000000          20    0.194281     0.19645 0.000675913
