3.47826	0
3.33913	0.13913
2.98799	0.360209
3.11056	0.282663
3.12845	0.219679
3.10087	0.181475
3.15478	0.162574
3.09377	0.153446
3.09189	0.135339
3.1027	0.121533
3.18428	0.13689
3.14114	0.132198
3.08051	0.135881
3.16123	0.149469
3.24678	0.163342
3.27112	0.15472
3.2597	0.145783
3.29025	0.140799
3.29251	0.133201
3.25692	0.131283
3.22472	0.128961
3.22965	0.123058
3.21346	0.118697
3.2129	0.113645
3.19867	0.109929
3.24658	0.115977
3.23608	0.112092
3.22632	0.108454
3.19389	0.109559
3.22076	0.109201
3.19506	0.1087
3.1845	0.105777
3.17458	0.103
3.15965	0.101036
3.1431	0.0994914
3.15241	0.0971354
3.14729	0.0946123
3.14244	0.0922166
3.12804	0.0909687
3.10866	0.090758
3.12153	0.0894476
3.10493	0.0888567
3.083	0.0894929
3.08869	0.0876202
3.09735	0.0860873
3.09443	0.0842457
3.07587	0.0844968
3.08123	0.0828915
3.07882	0.0812181
3.09724	0.081682
3.09926	0.0800897
3.10376	0.0786633
3.10325	0.0771665
3.14455	0.0862533
3.15062	0.0848876
3.14362	0.0836514
3.13525	0.0825957
3.14117	0.0813743
3.13312	0.0803865
3.14151	0.0794792
3.13099	0.0788697
3.14501	0.078843
3.14212	0.0776352
3.13767	0.0765422
3.13863	0.0753615
3.13017	0.0746909
3.12768	0.07361
3.11628	0.0734089
3.13214	0.0740551
3.15089	0.0753587
3.15158	0.0742929
3.15831	0.0735626
3.17593	0.0746565
3.17626	0.0736415
3.17657	0.0726536
3.18054	0.0718011
3.18253	0.0708903
3.18446	0.0700022
3.20041	0.0709269
3.20207	0.0700544
3.20053	0.0692014
3.20391	0.0684361
3.20387	0.0676066
3.20236	0.066814
3.19504	0.0664272
3.1951	0.0656502
3.19516	0.0648913
3.19521	0.0641497
3.19839	0.0635045
3.20518	0.063161
3.20377	0.0624789
3.20676	0.0618681
3.20002	0.0615684
3.19258	0.0613635
3.19136	0.0607263
3.185	0.0604262
3.17877	0.0601237
3.18715	0.0600942
3.18728	0.0594842
3.19177	0.0590574
