   0.0000000000000000e+00   0.0000000000000000e+00
   9.9498743706051407e-01   7.0977568701279872e-03
   1.4113087288403012e+00   1.1700184792911329e-02
   1.7347199071860724e+00   1.5175576963179949e-02
   1.9967644108689664e+00   1.7644271261928572e-02
   2.2332588143539480e+00   2.0401740929877871e-02
   2.4401654991675183e+00   2.2660194939329404e-02
   2.6364817294141059e+00   2.4220017127878472e-02
   2.8304484685976119e+00   2.6234504430924142e-02
   3.0018081800020919e+00   2.8052834557027923e-02
   3.1658655048277971e+00   2.8841539476411254e-02
   3.3038414408719388e+00   3.0177206848212863e-02
   3.4551637732251774e+00   3.1686250631595830e-02
   3.5957178355644879e+00   3.3035541781721148e-02
   3.7403254984921350e+00   3.4874944811091428e-02
   3.8705289466131898e+00   3.5157752551760867e-02
   3.9925974622892237e+00   3.6227929495666444e-02
   4.1135009435240262e+00   3.7209785968626979e-02
   4.2314472318066541e+00   3.7621609788674834e-02
   4.3434887016502204e+00   3.8762923514946625e-02
   4.4554181788406746e+00   3.9011106415095802e-02
   4.5606543107319997e+00   4.0174826932579531e-02
   4.6634802265640758e+00   4.0964178345267381e-02
   4.7658798498005703e+00   4.2715623953263497e-02
   4.8796086577048774e+00   4.3897417193607104e-02
   4.9832971217821127e+00   4.4836266745624999e-02
   5.0807751825209042e+00   4.5764308062962451e-02
   5.1580293107053938e+00   4.6780172244165440e-02
   5.2500301186995095e+00   4.7652003118164386e-02
   5.3405060327809419e+00   4.8369639839430371e-02
   5.4313970428007394e+00   4.8317648456078631e-02
   5.5229592419889562e+00   4.9262571281551176e-02
   5.6108793739612732e+00   5.0158702990166878e-02
   5.6938168944483953e+00   5.0929928040881763e-02
   5.7832805455429144e+00   5.2018027758743465e-02
   5.8703758726946367e+00   5.2853060236753062e-02
   5.9487457854036299e+00   5.3436255109942252e-02
   6.0353589251203879e+00   5.3511432784751081e-02
   6.1150952243366019e+00   5.4124471292529792e-02
   6.1859586496430374e+00   5.5183308000660562e-02
   6.2617273461987706e+00   5.5735466049548529e-02
   6.3349685896760644e+00   5.6518790433807295e-02
   6.4048303419271209e+00   5.6913999479475355e-02
   6.4837036620606723e+00   5.8480251069730191e-02
   6.5653741153704175e+00   5.9790759984251061e-02
   6.6448929648256589e+00   6.0631094401755771e-02
   6.7112044081176698e+00   6.1223913780746403e-02
   6.7811004525877534e+00   6.2416972553961871e-02
   6.8484260718388557e+00   6.3576775653677586e-02
   6.9233686801406256e+00   6.3493762145982680e-02
   6.9992970346631234e+00   6.5124462307781836e-02
   7.0661047649178546e+00   6.5484678992604156e-02
   7.1395750444129229e+00   6.6163834124308998e-02
   7.2120076389321701e+00   6.7426029514194255e-02
   7.2820347732336854e+00   6.6580259332227859e-02
   7.3464301098006137e+00   6.6557603360652348e-02
   7.4045025891907352e+00   6.7636498759571589e-02
   7.4687992617916015e+00   6.8698267073978012e-02
   7.5339398754267108e+00   6.8744423755132358e-02
   7.6008628759805230e+00   6.8608001195108251e-02
   7.6642514751683519e+00   7.0227090572462181e-02
   7.7333236770245160e+00   7.0903794450466989e-02
   7.7942008155542375e+00   7.1531518498136201e-02
   7.8637865396792961e+00   7.1179967630131291e-02
   7.9259137631688628e+00   7.0678438224052703e-02
   7.9926433829904884e+00   7.1195397739849106e-02
   8.0569098801952990e+00   7.1896528867909329e-02
   8.1230236504136570e+00   7.2431738341431837e-02
   8.1805092762915166e+00   7.3354971718926132e-02
   8.2383066268408758e+00   7.3574548994146297e-02
   8.2988574439332456e+00   7.4112899273647975e-02
   8.3647408847124751e+00   7.5045641523878007e-02
   8.4241442443611678e+00   7.5996279480403175e-02
   8.4905353136993469e+00   7.6276622704068806e-02
   8.5575819693890978e+00   7.6830931217737444e-02
   8.6117992102951089e+00   7.7365329430645349e-02
   8.6708823243614326e+00   7.7888127077207006e-02
   8.7255155664776396e+00   7.8861356888669645e-02
   8.7937450379455289e+00   7.9685488531135593e-02
   8.8492719431144913e+00   8.0105827952976175e-02
   8.9097941916008114e+00   8.0512034864495596e-02
   8.9659345063496776e+00   8.1501335796333091e-02
   9.0203235198457232e+00   8.1253368207382146e-02
   9.0706894073900308e+00   8.2071439542235794e-02
   9.1190211012950133e+00   8.3397456867499151e-02
   9.1782443049524431e+00   8.3786659915717640e-02
   9.2372446523068081e+00   8.4664563253850245e-02
   9.2918373063701623e+00   8.4493730486408472e-02
   9.3447161824131229e+00   8.5508243303678497e-02
   9.3995701274855463e+00   8.5310966112963585e-02
   9.4443813087156609e+00   8.4998890643104508e-02
   9.4998186847794948e+00   8.5427415437867152e-02
   9.5632503269204303e+00   8.6346143280161283e-02
   9.6053136038290106e+00   8.6492661516862968e-02
   9.6640472535692457e+00   8.8249563672061465e-02
   9.7124261219228885e+00   8.7926140705694419e-02
   9.7728783455794055e+00   8.9540191421275242e-02
   9.8301433912289937e+00   8.9652937366394278e-02
   9.8780747169721348e+00   9.1534169173095731e-02
   9.9301906641807545e+00   9.2174080709014644e-02
