step          sigma             mu
265       0.637789       0.742363
266       0.639938       0.748972
267       0.638987       0.744934
268       0.638486       0.745022
269       0.634417       0.740589
270       0.634948       0.744017
271        0.63858       0.738055
272       0.645026       0.742155
273       0.643183       0.738134
274       0.643183       0.738134
275       0.642479       0.741159
276       0.638765       0.741175
277       0.636925       0.741267
278       0.630845       0.737412
279       0.627577       0.737045
280       0.621862       0.741718
281       0.624566       0.742507
282       0.623694       0.748973
283       0.620853       0.755226
284       0.622982       0.754441
285       0.622982       0.754441
286       0.619045       0.753435
287       0.622996       0.758322
288       0.623706       0.760058
289       0.623706       0.760058
290       0.625448       0.762623
291       0.625448       0.762623
292       0.631299       0.761146
293       0.629336       0.764569
294       0.632618        0.76015
295        0.63837       0.758373
296       0.642258       0.756829
297       0.643677       0.762077
298       0.640729       0.755485
299       0.642475       0.750566
300       0.639144       0.752722
301       0.632693       0.751815
302       0.638807       0.754303
303       0.642042       0.753432
304       0.636548       0.747009
305       0.639369       0.745685
306       0.639778       0.750648
307       0.644802       0.753574
308       0.651218       0.748461
309       0.651218       0.748461
310       0.651218       0.748461
311       0.651218       0.748461
312       0.646084        0.74683
313       0.646084        0.74683
314       0.651165       0.747763
315       0.651165       0.747763
316       0.653743       0.741972
317       0.660056       0.748044
318       0.660056       0.748044
319       0.661809       0.748272
320       0.663844       0.746495
321       0.668997       0.752771
322       0.668997       0.752771
323       0.667918       0.757772
324       0.667918       0.757772
325       0.661775       0.762976
326       0.660791       0.760371
327       0.665993       0.753848
328       0.662839       0.753787
329       0.667921       0.749567
330        0.66292       0.753785
331       0.668882       0.751873
332       0.668882       0.751873
333       0.668882       0.751873
334       0.666685        0.75307
335       0.666685        0.75307
336        0.66244       0.750315
337       0.656386       0.752683
338       0.651266       0.749756
339       0.650222       0.747509
340       0.648567       0.742352
341       0.648567       0.742352
342        0.65484       0.740689
343          0.658       0.740858
344          0.658       0.740858
345       0.664602       0.737453
346       0.664977       0.743694
347        0.66864       0.749513
348       0.674313       0.752654
349       0.668019       0.757186
350       0.673328       0.753953
351       0.673328       0.753953
352         0.6671       0.748294
353       0.672272       0.753449
354       0.672272       0.753449
355       0.676218       0.750822
356       0.676218       0.750822
357       0.679929       0.755088
358       0.679929       0.755088
359       0.674177       0.748752
360       0.677615       0.745763
361       0.673164       0.747824
362       0.678127       0.746001
363       0.673791       0.746463
364       0.670932       0.752049
365       0.670932       0.752049
366       0.669451        0.75447
367       0.675612       0.756645
368       0.677206       0.758432
369       0.675917       0.756879
370        0.67897       0.751821
371       0.676071       0.746255
372       0.672631       0.741987
373       0.672631       0.741987
374       0.667794       0.744075
375       0.666581       0.750462
376       0.661097       0.749163
377       0.655769       0.745623
378       0.655769       0.745623
379       0.653502       0.751356
380       0.646947       0.756321
381        0.64864       0.754734
382       0.642821       0.758857
383        0.64745       0.754339
384       0.646271       0.760883
385       0.652262       0.764512
386       0.652262       0.764512
387        0.64858       0.759896
388       0.644364       0.755428
389       0.644364       0.755428
390        0.64666        0.76059
391       0.644652       0.760924
392        0.64426       0.761549
393       0.645966       0.762631
394       0.647551       0.763042
395       0.646823       0.759279
396       0.644042       0.765869
397       0.647834       0.760606
398       0.643559       0.766411
399       0.645508         0.7606
400       0.642494       0.763294
401       0.642647       0.769642
402       0.640465       0.764639
403       0.635835       0.768768
404       0.631984       0.772489
405          0.634       0.773891
406       0.639281       0.780473
407       0.639281       0.780473
408       0.636658       0.785631
409       0.637848       0.787999
410       0.637848       0.787999
411       0.632409        0.78507
412       0.634975       0.779367
413       0.634975       0.779367
414       0.631736       0.782147
415       0.631736       0.782147
416       0.631736       0.782147
417       0.627983       0.781766
418       0.627983       0.781766
419       0.632773       0.787188
420       0.627814       0.789381
421       0.630461       0.794177
422       0.625848       0.791243
423       0.630684       0.785969
424       0.633745       0.786579
425       0.639302       0.786679
426       0.640725       0.790642
427       0.634953       0.784124
428       0.636526       0.784676
429       0.634637       0.789265
430       0.630889       0.795791
431       0.625825       0.801169
432       0.622078       0.795164
433       0.623279       0.794155
434       0.629352       0.796236
435       0.634602       0.802506
436        0.63091        0.80331
437       0.633257        0.80697
438       0.626963        0.81071
439       0.621227       0.813412
440        0.61913       0.810433
441       0.617613       0.808994
442       0.621879       0.813629
443       0.621879       0.813629
